Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
3-Sep-21,1598,1568.3,1576.05,5367667,84933.28641,75480
6-Sep-21,1580.95,1561.95,1565.7,3938448,61811.91133,47404
7-Sep-21,1582,1555.2,1569.25,3622748,56870.30982,64757
8-Sep-21,1580.5,1565.6,1576.4,3362040,52934.25818,47811
9-Sep-21,1579.45,1561,1568.6,4125474,64680.28138,39121
13-Sep-21,1584,1553.65,1555.55,4479582,69900.94957,44739
14-Sep-21,1564.5,1546.6,1548.55,4879253,75738.82024,49546
15-Sep-21,1554.8,1535,1546.8,7411499,114415.5132,88634
16-Sep-21,1564.3,1536.3,1559.95,5130275,79589.96358,116534
17-Sep-21,1589,1559.2,1582.15,10249051,161548.1118,168969
20-Sep-21,1581.7,1558,1559.85,4390805,68894.37483,99026
21-Sep-21,1568.65,1528.95,1551.95,7387498,114102.0296,106161
22-Sep-21,1550.15,1530,1533.7,5291101,81323.32796,86021
23-Sep-21,1572,1542,1570,6832152,106667.8704,136784
24-Sep-21,1607.95,1575,1601.55,10403351,165728.9484,275427
